SR_ NO,WARD/SAMPARK_ NAME,RESIDENTIAL_COUNT,RESIDENTIAL_ARV,NON_RESIDENTIAL_COUNT,NON_RESIDENTIAL_ARV,OPEN_PLOT_COUNT,OPEN_PLOT_ARV,MIX_COUNT,MIX_ARV,TOTAL_COUNT,TOTAL_ARV,ARREARS_TILL_ 31 _MAR _2017,ORIGINAL_ DEMAND _2017-18,PENALTY_ AMOUNT,INCREASED_DEMAND_ AMOUNT,COLLECTION_ 2017-18,,,,
1,Aundh,"58,657",521948964,"5,704",326435125,"2,782",110767657,440,27249085,"67,583",986400831,1059352083,1024089995,309672467,89421922,984472021,,,,
2,Baner,"19,606",178022940,"2,399",162289400,"3,553",61438726,206,18261000,"25,764",420012066,600233890,389867186,166047845,80197359,428021528,,,,
3,Bhavani Peth,"16,297",58137112,"6,179",82730051,126,743577,"1,324",12619870,"23,926",154230610,538303493,182437071,150497442,21611339,168999613,,,,
4,Bibwe Wadi,"62,375",384556987,"8,658",173770224,"2,621",81985646,816,34278017,"74,470",674590874,1392163642,705613745,397735965,196290697,708074420,,,,
5,Chandan Nagar,"9,078",43251361,677,23727050,610,8273440,528,10029967,"10,893",85281818,328175957,90440942,89422070,31583002,125208625,,,,
6,Dhankawadi,"27,643",121042945,"4,156",42000500,533,6484800,556,13179626,"32,888",182707871,768587675,181118780,215219085,14401625,160983448,,,,
7,Dhayari,"5,891",20146962,876,15478696,262,1471250,119,5065000,"7,148",42161908,180415407,39577801,50278028,4046175,39005788,,,,
8,Dhole Patil Road,"24,252",227903865,"5,193",315585646,887,39356473,367,53364605,"30,699",636210589,1175388938,673351609,337069324,85990369,656233954,,,,
9,Ghole Road,"21,853",150101446,"6,775",447023490,312,6372878,629,39164470,"29,569",642662284,1054046009,690387250,295178838,89348424,695577531,,,,
10,Hadapsar,"85,028",545306020,"10,261",545217290,"2,718",98569787,"1,461",71752074,"99,468",1260845171,1695378445,1292764494,483321215,190091678,1355786434,,,,
11,Hingne,"8,059",30608115,"1,092",9185500,171,1131500,124,2694750,"9,446",43619865,102780864,41759934,27879020,4285016,46341227,,,,
12,Kasba Peth,"11,655",35783087,"4,333",58335139,42,"64,343","1,032",7421200,"17,062",101603769,313991128,138297128,91088668,8452454,107067228,,,,
13,Katraj,"15,215",58561278,"1,492",16513485,"1,393",7595975,525,11721500,"18,625",94392238,435090520,105247434,120987125,7142099,104604115,,,,
14,Kondhwa,"24,083",103409841,"1,924",32513588,"1,472",17126153,413,11518087,"27,892",164567669,1091061364,177993875,310217352,3982081,146087229,,,,
15,Kothrud,"62,854",393309659,"8,767",286998565,"1,261",19596729,771,48261713,"73,653",748166666,1073740287,792173670,309500632,146238826,759190260,,,,
16,Nagar Road(Vadgaonsheri),"53,415",535064555,"7,459",841902268,"2,056",96530070,"1,457",113784582,"64,387",1587281475,1585796720,1561080924,448266489,685797293,1879433943,,,,
17,Sahakar Nagar,"39,517",209821774,"5,399",100660625,"1,426",22782340,864,27019680,"47,206",360284419,683065438,394333757,198119048,52986061,375183952,,,,
18,Sangam Wadi,"37,215",188351891,"3,034",51210503,"2,086",34990645,686,24890980,"43,021",299444019,632955698,319154723,182539368,51706012,300683852,,,,
19,Tilak Road,"46,239",271728476,"8,883",212058461,"1,281",67379631,"1,264",29596906,"57,667",580763474,1224383471,599596705,357585417,124066330,549563692,,,,
20,Vadgaon Bk,"18,780",66646240,"1,999",15735700,550,2397424,151,7489510,"21,480",92268874,318818558,87428437,89496152,4547284,78839803,,,,
21,Vadgaonsheri,"13,095",69839250,848,23715140,271,3096300,403,8577250,"14,617",105227940,238074834,113510420,67356011,31143057,125599340,,,,
22,Vishrambaug Wada,"24,198",95472356,"12,378",167009869,120,637151,"1,519",25717549,"38,215",288836925,423279857,334345501,120702823,24838352,329124721,,,,
23,Warje,"52,904",304548759,"4,425",81517220,"2,149",26428925,"1,021",38121605,"60,499",450616509,714561558,458025785,202999650,32739259,437544336,,,,
24,Yewalewadi,"2,914",19418400,191,8233750,93,31269340,54,1742350,"3,252",60663840,22181534,38968759,8754132,11679414,37817555,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
